corruption,1,2,5,10,20,50,100
relational,"days: 0.0, hours: 11.0, minutes: 50.0, seconds: 4.080989837646484","days: 0.0, hours: 11.0, minutes: 53.0, seconds: 23.34235119819641","days: 0.0, hours: 12.0, minutes: 0.0, seconds: 8.811630010604858","days: 0.0, hours: 12.0, minutes: 8.0, seconds: 57.70092797279358","days: 0.0, hours: 12.0, minutes: 12.0, seconds: 8.231848001480103","days: 0.0, hours: 13.0, minutes: 16.0, seconds: 28.773047924041748","days: 0.0, hours: 13.0, minutes: 46.0, seconds: 53.911051750183105"
corrupt,"days: 0.0, hours: 5.0, minutes: 55.0, seconds: 15.067106008529663","days: 0.0, hours: 6.0, minutes: 7.0, seconds: 47.565967082977295","days: 0.0, hours: 6.0, minutes: 51.0, seconds: 58.881876945495605","days: 0.0, hours: 7.0, minutes: 30.0, seconds: 56.342735052108765","days: 0.0, hours: 7.0, minutes: 21.0, seconds: 59.33838391304016","days: 0.0, hours: 9.0, minutes: 58.0, seconds: 56.932618856430054","days: 0.0, hours: 12.0, minutes: 32.0, seconds: 49.41221785545349"
