corruption,1,2,5,10,20,50,100
relational,0,"days: 0.0, hours: 11.0, minutes: 6.0, seconds: 43.54229998588562","days: 0.0, hours: 11.0, minutes: 8.0, seconds: 45.40822792053223","days: 0.0, hours: 11.0, minutes: 10.0, seconds: 57.060511112213135","days: 0.0, hours: 11.0, minutes: 15.0, seconds: 38.21865391731262","days: 0.0, hours: 2.0, minutes: 5.0, seconds: 59.388412952423096","days: 0.0, hours: 11.0, minutes: 50.0, seconds: 56.092077016830444"
corrupt,"days: 0.0, hours: 5.0, minutes: 0.0, seconds: 15.159296035766602","days: 0.0, hours: 5.0, minutes: 3.0, seconds: 28.780108213424683","days: 0.0, hours: 5.0, minutes: 37.0, seconds: 41.15116500854492","days: 0.0, hours: 5.0, minutes: 46.0, seconds: 13.84093689918518","days: 0.0, hours: 6.0, minutes: 54.0, seconds: 9.46609878540039","days: 0.0, hours: 7.0, minutes: 58.0, seconds: 49.586834192276","days: 0.0, hours: 9.0, minutes: 57.0, seconds: 41.23388385772705"
