corruption,1,2,5,10,20,50,100
relational,"days: 0.0, hours: 2.0, minutes: 29.0, seconds: 36.351322174072266","days: 0.0, hours: 3.0, minutes: 2.0, seconds: 31.084270000457764","days: 0.0, hours: 3.0, minutes: 27.0, seconds: 52.68706202507019","days: 0.0, hours: 4.0, minutes: 40.0, seconds: 57.47171688079834","days: 0.0, hours: 5.0, minutes: 20.0, seconds: 50.006561040878296",0,0
corrupt,"days: 0.0, hours: 6.0, minutes: 48.0, seconds: 3.4634742736816406","days: 0.0, hours: 7.0, minutes: 12.0, seconds: 10.68698501586914","days: 0.0, hours: 8.0, minutes: 1.0, seconds: 3.062821865081787","days: 0.0, hours: 9.0, minutes: 24.0, seconds: 43.71052312850952","days: 0.0, hours: 10.0, minutes: 42.0, seconds: 19.360235929489136",0,0
