corruption,1,2,5,10,20,50,100
relational,"days: 0.0, hours: 1.0, minutes: 53.0, seconds: 50.35909914970398","days: 0.0, hours: 1.0, minutes: 46.0, seconds: 34.00751185417175","days: 0.0, hours: 1.0, minutes: 26.0, seconds: 47.894707918167114","days: 0.0, hours: 1.0, minutes: 58.0, seconds: 20.687737226486206","days: 0.0, hours: 1.0, minutes: 38.0, seconds: 57.15152382850647","days: 0.0, hours: 1.0, minutes: 34.0, seconds: 5.181626081466675","days: 0.0, hours: 2.0, minutes: 37.0, seconds: 54.82960081100464"
corrupt,"days: 0.0, hours: 5.0, minutes: 49.0, seconds: 14.151460886001587","days: 0.0, hours: 5.0, minutes: 4.0, seconds: 44.99327111244202","days: 0.0, hours: 4.0, minutes: 4.0, seconds: 18.77428674697876","days: 0.0, hours: 6.0, minutes: 39.0, seconds: 6.496193885803223","days: 0.0, hours: 6.0, minutes: 2.0, seconds: 59.86554980278015","days: 0.0, hours: 5.0, minutes: 23.0, seconds: 24.42253613471985","days: 0.0, hours: 8.0, minutes: 9.0, seconds: 27.226861715316772"
