corruption,1,2,5,10,20,50,100
corrupt,0,0,0,"days: 0.0, hours: 11.0, minutes: 28.0, seconds: 29.300261735916138",0,"days: 0.0, hours: 19.0, minutes: 37.0, seconds: 35.13974690437317","days: 1.0, hours: 5.0, minutes: 8.0, seconds: 58.47633409500122"
