corruption,1,2,5,10,20,50,100
corrupt,0,0,0,"days: 1.0, hours: 4.0, minutes: 38.0, seconds: 35.264235973358154",0,"days: 2.0, hours: 16.0, minutes: 33.0, seconds: 47.031655073165894","days: 4.0, hours: 7.0, minutes: 7.0, seconds: 55.11173605918884"
