corruption,1,2,5,10,20,50,100
corrupt,0,0,0,"days: 0.0, hours: 13.0, minutes: 28.0, seconds: 15.91582202911377",0,"days: 0.0, hours: 22.0, minutes: 32.0, seconds: 23.80681824684143","days: 1.0, hours: 6.0, minutes: 55.0, seconds: 45.09158110618591"
