corruption,1,2,5,10,20,50,100
corrupt,0,0,0,"days: 0.0, hours: 14.0, minutes: 53.0, seconds: 15.090887069702148",0,"days: 1.0, hours: 2.0, minutes: 21.0, seconds: 33.26196599006653","days: 1.0, hours: 10.0, minutes: 36.0, seconds: 45.75634694099426"
