corruption,1,2,5,10,20,50,100
corrupt copy 2,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 12.718908786773682","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 17.085329055786133","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 31.287101984024048","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 48.17755079269409","days: 0.0, hours: 0.0, minutes: 1.0, seconds: 25.75635290145874","days: 0.0, hours: 0.0, minutes: 3.0, seconds: 16.202449798583984","days: 0.0, hours: 0.0, minutes: 8.0, seconds: 3.570089817047119"
corrupt,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 12.718908786773682","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 17.085329055786133","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 31.287101984024048","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 48.17755079269409","days: 0.0, hours: 0.0, minutes: 1.0, seconds: 25.75635290145874","days: 0.0, hours: 0.0, minutes: 3.0, seconds: 16.202449798583984","days: 0.0, hours: 0.0, minutes: 8.0, seconds: 3.570089817047119"
corrupt copy,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 12.718908786773682","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 17.085329055786133","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 31.287101984024048","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 48.17755079269409","days: 0.0, hours: 0.0, minutes: 1.0, seconds: 25.75635290145874","days: 0.0, hours: 0.0, minutes: 3.0, seconds: 16.202449798583984","days: 0.0, hours: 0.0, minutes: 8.0, seconds: 3.570089817047119"
