corruption,1,2,5,10,20,50,100
corrupt copy 2,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 5.498646020889282","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 6.404465913772583","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 7.971140146255493","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 11.171564102172852","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 18.734530210494995","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 38.967864990234375","days: 0.0, hours: 0.0, minutes: 2.0, seconds: 26.093065977096558"
corrupt,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 5.498646020889282","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 6.404465913772583","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 7.971140146255493","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 11.171564102172852","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 18.734530210494995","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 38.967864990234375","days: 0.0, hours: 0.0, minutes: 2.0, seconds: 26.093065977096558"
corrupt copy,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 5.498646020889282","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 6.404465913772583","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 7.971140146255493","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 11.171564102172852","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 18.734530210494995","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 38.967864990234375","days: 0.0, hours: 0.0, minutes: 2.0, seconds: 26.093065977096558"
