corruption,1,2,5,10,20,50,100
corrupt copy 2,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 6.526731014251709","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 7.925081968307495","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 10.548332691192627","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 14.745949268341064","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 24.27539086341858","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 52.58861327171326","days: 0.0, hours: 0.0, minutes: 2.0, seconds: 45.479395151138306"
corrupt,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 6.526731014251709","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 7.925081968307495","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 10.548332691192627","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 14.745949268341064","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 24.27539086341858","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 52.58861327171326","days: 0.0, hours: 0.0, minutes: 2.0, seconds: 45.479395151138306"
corrupt copy,"days: 0.0, hours: 0.0, minutes: 0.0, seconds: 6.526731014251709","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 7.925081968307495","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 10.548332691192627","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 14.745949268341064","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 24.27539086341858","days: 0.0, hours: 0.0, minutes: 0.0, seconds: 52.58861327171326","days: 0.0, hours: 0.0, minutes: 2.0, seconds: 45.479395151138306"
